review_rank_global,review_rank_project,review_bucket,review_reason,project_id,project_name,list_type,category,quadrant,quadrant_label,review_priority,scale_video_count_tier,scale_video_count_best,scale_best_hashtag,likely_reach_tier,raw_reach_tier,inclusive_reach_tier,reach_noise_risk,low_relevance_play_ratio_project,likely_play_ratio_project,video_id,web_url,author_unique_id,source_term,term_script,ceiling_class,quality_label_auto,quality_score_auto,quality_reasons_auto,matched_terms_auto,core_matched_terms_auto,negative_matched_terms_auto,stats_play_count,stats_digg_count,stats_comment_count,stats_share_count,stats_collect_count,hashtags,desc,manual_relevance,manual_noise_type,manual_language_reach,manual_audience_proxy,manual_notes
70,10,raw_top_probe,核查 raw top 是否由低相关热门视频撑高,8,福建木偶戏,GSP,保护实践(木偶戏),stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,near_invisible,315,布袋戏,bottom_10pct_reach,middle_40_70pct_reach,middle_40_70pct_reach,high,0.8816,0.0023,7633812852440059154,https://www.tiktok.com/@shuyam612/video/7633812852440059154,shuyam612,布袋戏,cjk,ceiling_capped,low_relevance,1,cjk_desc,,,,13500000,253500,1791,11300,15500,拍戏现场花絮;拍戏现场;拍戏;拍戏幕后;拍戏花絮;吊威亚,#拍戏现场花絮 #拍戏现场 #拍戏 #拍戏幕后 #拍戏花絮 #吊威亚,,,,,
71,1,likely_evidence,验证 likely_relevant 触达信号,9,赫哲族伊玛堪,USL,口头传统/史诗,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,near_invisible,17,hezhe,middle_40_70pct_reach,bottom_10pct_reach,lower_70_90pct_reach,high,0.9346,0.049,7572567790519897364,https://www.tiktok.com/@zhezhehe/video/7572567790519897364,zhezhehe,hezhe,latin,ceiling_capped,likely_relevant,4,source_hit;project_term_hits:1;core_term_hits:1,hezhe,hezhe,,3800000,222000,1527,49100,9748,xuhuong;fyp;cosplay,#xuhuong #fyp #cosplay,,,,,
72,2,likely_evidence,验证 likely_relevant 触达信号,9,赫哲族伊玛堪,USL,口头传统/史诗,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,near_invisible,17,hezhe,middle_40_70pct_reach,bottom_10pct_reach,lower_70_90pct_reach,high,0.9346,0.049,7264511179328867602,https://www.tiktok.com/@zhezhehe/video/7264511179328867602,zhezhehe,hezhe,latin,ceiling_capped,likely_relevant,4,source_hit;project_term_hits:1;core_term_hits:1,hezhe,hezhe,,2300000,172800,1476,1232,7771,boahankock;onepiece;fypシ,Ig: He_zhe_zhe #boahankock #onepiece #fypシ,,,,,
73,3,likely_evidence,验证 likely_relevant 触达信号,9,赫哲族伊玛堪,USL,口头传统/史诗,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,near_invisible,17,hezhe,middle_40_70pct_reach,bottom_10pct_reach,lower_70_90pct_reach,high,0.9346,0.049,7450114188862688530,https://www.tiktok.com/@khoatngutram/video/7450114188862688530,khoatngutram,hezhe,latin,ceiling_capped,likely_relevant,5,source_hit;project_term_hits:1;core_term_hits:1;cjk_desc,hezhe,hezhe,,1200000,128100,616,4950,8229,muacotrang;muacotrangtrungquoc;郭喆喆;guozhezhe;douyin;xiaohongshu;xuhướng;xuhuongtiktok;odaytocodoxinh,Cú nhảy vậy bảo sao cuối ngày chân tay ả bầm tím #muacotrang #muacotrangtrungquoc #郭喆喆 #GuoZhezhe #douyin #xiaohongshu #xuhướng #xuhuongtiktok #odaytocodoxinh,,,,,
74,4,needs_review_boundary,判定 needs_review 是否应回流到 likely 或 low，影响 inclusive 触达,9,赫哲族伊玛堪,USL,口头传统/史诗,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,near_invisible,17,hezhe,middle_40_70pct_reach,bottom_10pct_reach,lower_70_90pct_reach,high,0.9346,0.049,7298030733258394911,https://www.tiktok.com/@naivepanda/video/7298030733258394911,naivepanda,伊玛堪,cjk,ceiling_capped,needs_review,2,china_context;cjk_desc,,,,2000000,9322,925,262,1523,习近平;香港;中共;中国;xijinping;hongkong;china,习主席名场面：视察香港遭记者喊话可否释放刘晓波 #习近平 #香港 #中共 #中国 #xijinping #hongkong #China,,,,,
75,5,needs_review_boundary,判定 needs_review 是否应回流到 likely 或 low，影响 inclusive 触达,9,赫哲族伊玛堪,USL,口头传统/史诗,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,near_invisible,17,hezhe,middle_40_70pct_reach,bottom_10pct_reach,lower_70_90pct_reach,high,0.9346,0.049,7550190555490225439,https://www.tiktok.com/@realbeijinger/video/7550190555490225439,realbeijinger,赫哲,cjk,ceiling_capped,needs_review,2,china_context;cjk_desc,,,,677500,3254,189,170,574,郝海东;郭文贵;爆料革命;华人;真相;共产党;ccp,盘点被中共封禁的名人 郝海东被封杀原因#郝海东 #郭文贵 #爆料革命 #华人 #真相 #共产党 #ccp,,,,,
76,6,low_noise_probe,核查 low_relevance 高播放噪声是否为撞词/泛词/错项目,9,赫哲族伊玛堪,USL,口头传统/史诗,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,near_invisible,17,hezhe,middle_40_70pct_reach,bottom_10pct_reach,lower_70_90pct_reach,high,0.9346,0.049,7166206744530570497,https://www.tiktok.com/@mayilong0/video/7166206744530570497,mayilong0,伊玛堪,cjk,ceiling_capped,low_relevance,0,,,,,22000000,2100000,17500,122100,178600,ftx;dogecoin;elonmusk;tesla,"#ftx #dogecoin #elonmusk #tesla Really want to slap you both in the face. So many people put their trust in you, only to let them down.",,,,,
77,7,low_noise_probe,核查 low_relevance 高播放噪声是否为撞词/泛词/错项目,9,赫哲族伊玛堪,USL,口头传统/史诗,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,near_invisible,17,hezhe,middle_40_70pct_reach,bottom_10pct_reach,lower_70_90pct_reach,high,0.9346,0.049,7633736301002362119,https://www.tiktok.com/@user8513083442827/video/7633736301002362119,user8513083442827,赫哲,cjk,ceiling_capped,low_relevance,1,china_context,,,,19900000,2200000,7047,78300,106500,longquanceladon;china;fyp;orientalaesthetic;giftideas,Better broken jade than whole tile. #LongquanCeladon #china #fyp #OrientalAesthetic#giftideas,,,,,
78,8,low_noise_probe,核查 low_relevance 高播放噪声是否为撞词/泛词/错项目,9,赫哲族伊玛堪,USL,口头传统/史诗,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,near_invisible,17,hezhe,middle_40_70pct_reach,bottom_10pct_reach,lower_70_90pct_reach,high,0.9346,0.049,7389602651085884702,https://www.tiktok.com/@makabaka_popcorn/video/7389602651085884702,makabaka_popcorn,伊玛堪,cjk,ceiling_capped,low_relevance,0,,,,,18200000,1400000,15100,60800,184000,camping;softcar;homecar;Vlog;travel;carvideos,#camping #softcar #homecar #vlog #travel #carvideos,,,,,
79,9,raw_top_probe,核查 raw top 是否由低相关热门视频撑高,9,赫哲族伊玛堪,USL,口头传统/史诗,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,near_invisible,17,hezhe,middle_40_70pct_reach,bottom_10pct_reach,lower_70_90pct_reach,high,0.9346,0.049,7317611162672041221,https://www.tiktok.com/@kdovvtbgjn3/video/7317611162672041221,kdovvtbgjn3,伊玛堪,cjk,ceiling_capped,low_relevance,1,cjk_desc,,,,11900000,301400,3345,1698,26100,蠟瓶糖;蠟瓶糖咀嚼聲;自製蠟瓶糖;蠟瓶糖自由;网紅蠟瓶糖;蠟瓶糖測評;美食測評;甜品;蠟瓶糖試;我要上推薦;治癒;糖果;網紅糖果;蠟瓶糖咀咀;解壓,凍著吃嘎嘎好吃😋冰凍脆皮蠟瓶糖巨巨好吃！皮薄餡大，而且果醬酸酸甜甜的！好吃又好玩#蠟瓶糖 #蠟瓶糖咀嚼聲 #自製蠟瓶糖 #蠟瓶糖自由 #网紅蠟瓶糖 #蠟瓶糖測評 #美食測評 #甜品 #蠟瓶糖試 #我要上推薦 #治癒 #糖果 #網紅糖果 #蠟瓶糖咀咀 #解壓,,,,,
80,10,raw_top_probe,核查 raw top 是否由低相关热门视频撑高,9,赫哲族伊玛堪,USL,口头传统/史诗,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,near_invisible,17,hezhe,middle_40_70pct_reach,bottom_10pct_reach,lower_70_90pct_reach,high,0.9346,0.049,7589061348617768200,https://www.tiktok.com/@chi_kun82/video/7589061348617768200,chi_kun82,yimakan,latin,ceiling_capped,low_relevance,1,cjk_desc,,,,11400000,36500,1671,3893,4457,duelサポーター;魚に見えないピンクフロロ;monstergame9;コブダイ釣り,2025.12.28（日） 淡路島の沖波止 10:00〜14:00 74センチ、雄のパワフルな突っ込み。 負けそうになりながら踏ん張り、全身で受け止めて―― 今日も怪魚に薄氷の勝利🔥 この一瞬で根に突っ込むパワフルな怪魚を 「簡単に釣り上げた」なんて思えたことは一度もない だから楽しい だから、余計にのめり込む 今年、ついに固まった そのためのタックルバランス リール・ロッド・PEライン・サルカン ハリス・ザイロンノット・鈎 どれだけタックルを強くしても 釣り上げられるかどうかを決めるのは気持ち 「絶対にバラさな…,,,,,
81,1,likely_evidence,验证 likely_relevant 触达信号,10,中国皮影戏,RL,表演艺术,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,near_invisible,935,piying,lower_70_90pct_reach,high_20_40pct_reach,middle_40_70pct_reach,high,0.9032,0.0163,7017719800428285185,https://www.tiktok.com/@pandatalk_/video/7017719800428285185,pandatalk_,Chinese shadow puppetry,latin,ceiling_capped,likely_relevant,7,source_hit;project_term_hits:2;core_term_hits:2;china_context,chineseshadowpuppetry;shadowpuppetry,chineseshadowpuppetry;shadowpuppetry,,3300000,41200,70,79,170,china;foryou;fyp;tiktok;shadow,An art of using shadows-Chinese shadow puppetry!#china #foryou #fyp #tiktok #shadow,,,,,
82,2,likely_evidence,验证 likely_relevant 触达信号,10,中国皮影戏,RL,表演艺术,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,near_invisible,935,piying,lower_70_90pct_reach,high_20_40pct_reach,middle_40_70pct_reach,high,0.9032,0.0163,7563897776203910407,https://www.tiktok.com/@user3081810966148/video/7563897776203910407,user3081810966148,shadow puppetry,latin,exhausted,likely_relevant,7,source_hit;project_term_hits:2;core_term_hits:2;cjk_desc,shadowpuppetry;皮影,shadowpuppetry;皮影,,2600000,37300,322,894,3140,,"🎭 皮影戲白骨精「幻形三變」揭秘 燈影搖曳間，白骨精的詭譎變幻堪稱絕藝： 變臉時薄皮翻轉如蝶蛻， 照鏡時鏡中妖影與現實重疊共生—— 這不僅是技藝，更是光影交織的東方魔幻美學！ #皮影戲機關算盡 #白骨精幻形之謎 #非遺裡的視覺魔法 🎭 Shadow Puppetry Revealed: The White Bone Demon's Metamorphosis Amid flickering lamplight, her eerie transformations mesmerize: Her paper-thin…",,,,,
83,3,likely_evidence,验证 likely_relevant 触达信号,10,中国皮影戏,RL,表演艺术,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,near_invisible,935,piying,lower_70_90pct_reach,high_20_40pct_reach,middle_40_70pct_reach,high,0.9032,0.0163,7145257021724544261,https://www.tiktok.com/@chipotle_teatro/video/7145257021724544261,chipotle_teatro,shadow puppetry,latin,exhausted,likely_relevant,4,source_hit;project_term_hits:1;core_term_hits:1,shadowpuppetry,shadowpuppetry,,1300000,26300,84,264,1829,teatrodesombras;shadow;puppetry;iluminacion;titeres;shadowpuppet,#teatrodesombras #shadow #puppetry #iluminacion #titeres #shadowpuppet,,,,,
84,4,needs_review_boundary,判定 needs_review 是否应回流到 likely 或 low，影响 inclusive 触达,10,中国皮影戏,RL,表演艺术,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,near_invisible,935,piying,lower_70_90pct_reach,high_20_40pct_reach,middle_40_70pct_reach,high,0.9032,0.0163,7496793604933946679,https://www.tiktok.com/@pizza.55555/video/7496793604933946679,pizza.55555,皮影戏,cjk,ceiling_capped,needs_review,2,china_context;cjk_desc,,,,28200000,1900000,23700,91900,129200,披薩的辣;川渝女生;抖音;情侣,冰淇淋 #披薩的辣 #川渝女生 #抖音 #情侣,,,,,
85,5,needs_review_boundary,判定 needs_review 是否应回流到 likely 或 low，影响 inclusive 触达,10,中国皮影戏,RL,表演艺术,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,near_invisible,935,piying,lower_70_90pct_reach,high_20_40pct_reach,middle_40_70pct_reach,high,0.9032,0.0163,7559080211912969493,https://www.tiktok.com/@folkart.china/video/7559080211912969493,folkart.china,Chinese shadow puppetry,latin,ceiling_capped,needs_review,2,china_context;cjk_desc,,,,12100000,172300,5727,188400,17100,民间艺术;folkart;民族乐器;板胡,人不可貌相！这位民间艺人的板胡演奏太炸了！🎻 Chinese Banhu Master’s Jaw-Dropping Performance! #民间艺术 #folkart#民族乐器 #板胡,,,,,
86,6,low_noise_probe,核查 low_relevance 高播放噪声是否为撞词/泛词/错项目,10,中国皮影戏,RL,表演艺术,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,near_invisible,935,piying,lower_70_90pct_reach,high_20_40pct_reach,middle_40_70pct_reach,high,0.9032,0.0163,7646044803981004050,https://www.tiktok.com/@yigerenyetinghaode/video/7646044803981004050,yigerenyetinghaode,皮影戏,cjk,ceiling_capped,low_relevance,1,cjk_desc,,,,62900000,11000000,48500,1700000,742700,街头摄影;这个世界不能没有小猫;领先烘焙猫粮;领先猫粮;领先羊奶鸡,论戏精小猫如何出片 #街头摄影 #这个世界不能没有小猫 #领先烘焙猫粮 #领先猫粮 #领先羊奶鸡,,,,,
87,7,low_noise_probe,核查 low_relevance 高播放噪声是否为撞词/泛词/错项目,10,中国皮影戏,RL,表演艺术,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,near_invisible,935,piying,lower_70_90pct_reach,high_20_40pct_reach,middle_40_70pct_reach,high,0.9032,0.0163,7363340399005420832,https://www.tiktok.com/@kissyd0lly/video/7363340399005420832,kissyd0lly,piying,latin,exhausted,low_relevance,0,,,,,49500000,2000000,66700,455100,194300,00gseptum;lippiercings;piercings;doll,#00gseptum #lippiercings #piercings #doll,,,,,
88,8,low_noise_probe,核查 low_relevance 高播放噪声是否为撞词/泛词/错项目,10,中国皮影戏,RL,表演艺术,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,near_invisible,935,piying,lower_70_90pct_reach,high_20_40pct_reach,middle_40_70pct_reach,high,0.9032,0.0163,7568431834766249247,https://www.tiktok.com/@plzboomwo/video/7568431834766249247,plzboomwo,皮影戏,cjk,ceiling_capped,low_relevance,0,,,,,45500000,469400,8708,36300,105300,,#movietok #moviescene #movieclips,,,,,
89,9,raw_top_probe,核查 raw top 是否由低相关热门视频撑高,10,中国皮影戏,RL,表演艺术,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,near_invisible,935,piying,lower_70_90pct_reach,high_20_40pct_reach,middle_40_70pct_reach,high,0.9032,0.0163,7616709033940094239,https://www.tiktok.com/@harpermovies1/video/7616709033940094239,harpermovies1,皮影戏,cjk,ceiling_capped,low_relevance,0,,,,,39100000,745800,2147,28400,69900,movie;film;fyp;tok;usa,This boy fell in love with the girl living downstairs #movie #film #fyp #tok #usa,,,,,
90,10,raw_top_probe,核查 raw top 是否由低相关热门视频撑高,10,中国皮影戏,RL,表演艺术,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,near_invisible,935,piying,lower_70_90pct_reach,high_20_40pct_reach,middle_40_70pct_reach,high,0.9032,0.0163,7337371717049879813,https://www.tiktok.com/@sastisfactory_/video/7337371717049879813,sastisfactory_,piying,latin,exhausted,low_relevance,0,,,,,38200000,1200000,6394,46300,42600,piolho;carrapato;fyp;sastisfying,#piolho #carrapato #fyp #sastisfying,,,,,
91,1,likely_evidence,验证低存量高触达是否为真相关破圈视频,13,中国木活字印刷术,USL,传统手工艺,stock_low__reach_high,低存量高触达：小而精破圈候选,P0_noise_or_tier_drop,near_invisible,171,活字,high_20_40pct_reach,high_20_40pct_reach,high_20_40pct_reach,high,0.8319,0.1195,7404039857405742344,https://www.tiktok.com/@xiedapao88/video/7404039857405742344,xiedapao88,活字,cjk,exhausted,likely_relevant,9,source_hit;project_term_hits:3;core_term_hits:3;china_context;cjk_desc,movabletype;printing;活字,movabletype;printing;活字,,47700000,3100000,28000,74300,196300,活字印刷术;中国传统文化;中国非物质文化遗产;传统文化;传统手艺;传统手工艺;中国非物质;传统艺人;传统手工艺人,中国四大发明之一：活字印刷术。一起来感受中国传统文化的魅力！One of the four great inventions of China: movable type printing. Let's feel the charm of traditional Chinese culture!#活字印刷术 #中国传统文化 #中国非物质文化遗产 #传统文化 #中国传统文化 #传统手艺 #传统手工艺 #中国非物质 #传统艺人#传统手工艺人,,,,,
92,2,likely_evidence,验证低存量高触达是否为真相关破圈视频,13,中国木活字印刷术,USL,传统手工艺,stock_low__reach_high,低存量高触达：小而精破圈候选,P0_noise_or_tier_drop,near_invisible,171,活字,high_20_40pct_reach,high_20_40pct_reach,high_20_40pct_reach,high,0.8319,0.1195,7426288193546259744,https://www.tiktok.com/@unesco/video/7426288193546259744,unesco,movabletype,latin,ceiling_capped,likely_relevant,7,source_hit;project_term_hits:2;core_term_hits:2;china_context,movabletype;printing,movabletype;printing,,32700000,210000,593,6850,14000,unesco;livingheritage;asmr,Listen closely… the ancient craft of movable type printing still echoes in China! Discover this #unesco #LivingHeritage! #asmr,,,,,
93,3,likely_evidence,验证低存量高触达是否为真相关破圈视频,13,中国木活字印刷术,USL,传统手工艺,stock_low__reach_high,低存量高触达：小而精破圈候选,P0_noise_or_tier_drop,near_invisible,171,活字,high_20_40pct_reach,high_20_40pct_reach,high_20_40pct_reach,high,0.8319,0.1195,7487608886388706590,https://www.tiktok.com/@xiaomijiao2/video/7487608886388706590,xiaomijiao2,活字,cjk,exhausted,likely_relevant,5,source_hit;project_term_hits:1;core_term_hits:1;cjk_desc,活字,活字,,12800000,231600,1882,4057,11200,,从古老岁月走来 活字印刷术以独特魅力让文字跨越时空 领略传统文化的非凡魅力 #出师表完整版 #非遗守护人 #非遗 #非遗传承 #农村生活 #活字印刷 #手工制作 #手艺人 #活字印刷 #一见爱上传统文化,,,,,
94,4,needs_review_boundary,判定 needs_review 是否应回流到 likely 或 low，影响 inclusive 触达,13,中国木活字印刷术,USL,传统手工艺,stock_low__reach_high,低存量高触达：小而精破圈候选,P0_noise_or_tier_drop,near_invisible,171,活字,high_20_40pct_reach,high_20_40pct_reach,high_20_40pct_reach,high,0.8319,0.1195,7600833198972488968,https://www.tiktok.com/@3dtoylab.official/video/7600833198972488968,3dtoylab.official,printing,latin,ceiling_capped,needs_review,2,source_hit;project_term_hits:1;core_term_hits:1;generic_source_only,printing,printing,,7500000,97100,3250,21100,11300,,Flexi Goose With Spiral Neck. Articulated Desk Toy STL: https://makerworld.com/ru/models/2225028-flexi-goose-with-spiral-neck-articulated-desk-toy#profileId-2420040 #fyp #3dprinting #flexito y #gooseprint #satisfyingprints #printinplace #3dprinterlife #toypri…,,,,,
95,5,needs_review_boundary,判定 needs_review 是否应回流到 likely 或 low，影响 inclusive 触达,13,中国木活字印刷术,USL,传统手工艺,stock_low__reach_high,低存量高触达：小而精破圈候选,P0_noise_or_tier_drop,near_invisible,171,活字,high_20_40pct_reach,high_20_40pct_reach,high_20_40pct_reach,high,0.8319,0.1195,7461817575417122053,https://www.tiktok.com/@shoubkbr7m9/video/7461817575417122053,shoubkbr7m9,木活字,cjk,ceiling_capped,needs_review,2,china_context;cjk_desc,,,,5400000,101400,898,25800,6550,匠心之作;摆件;木雕作品;匠心制作;非遗传承;木雕艺术;家居摆件收藏品;中国制造;全球发货;好物分享;私信我;上熱門;木雕;上推薦通知我;上推薦;上热门;加line15593333;買包加line15593333;買錶加line15593333;買鞋加line15593333,#匠心之作 #摆件 #木雕作品 #匠心制作 #非遗传承 #木雕艺术 #家居摆件收藏品 #中国制造 #全球发货 #好物分享 #私信我 #上熱門 #木雕 #上推薦通知我 #上推薦 #上热门 #加line15593333 #買包加line15593333 #買錶加line15593333 #買鞋加line15593333,,,,,
96,6,low_noise_probe,核查 low_relevance 高播放噪声是否为撞词/泛词/错项目,13,中国木活字印刷术,USL,传统手工艺,stock_low__reach_high,低存量高触达：小而精破圈候选,P0_noise_or_tier_drop,near_invisible,171,活字,high_20_40pct_reach,high_20_40pct_reach,high_20_40pct_reach,high,0.8319,0.1195,7632096837394058516,https://www.tiktok.com/@engineezy/video/7632096837394058516,engineezy,movabletype,latin,ceiling_capped,low_relevance,0,,,,,90100000,261700,2973,4574,18400,chatgpt_partner;engineer;mechanicalengineering;mechatronics;ad,This machine can draw any shape ••• Every mechanism I've built so far can only draw one shape. So I built one that can draw all of them using a custom app I coded with @ChatGPT to create the cam profiles. Then I pushed it even further and turned it into an au…,,,,,
97,7,low_noise_probe,核查 low_relevance 高播放噪声是否为撞词/泛词/错项目,13,中国木活字印刷术,USL,传统手工艺,stock_low__reach_high,低存量高触达：小而精破圈候选,P0_noise_or_tier_drop,near_invisible,171,活字,high_20_40pct_reach,high_20_40pct_reach,high_20_40pct_reach,high,0.8319,0.1195,7591831028256296195,https://www.tiktok.com/@ishalcncwoodart_official/video/7591831028256296195,ishalcncwoodart_official,木活字,cjk,ceiling_capped,low_relevance,0,,,,,83300000,1400000,9118,68400,86500,foruyou;treanding;asmr;diycrafts;craftsmanship,Best CNC router machine for wood carving V #foruyou #treanding #asmr #diycrafts #Craftsmanship,,,,,
98,8,low_noise_probe,核查 low_relevance 高播放噪声是否为撞词/泛词/错项目,13,中国木活字印刷术,USL,传统手工艺,stock_low__reach_high,低存量高触达：小而精破圈候选,P0_noise_or_tier_drop,near_invisible,171,活字,high_20_40pct_reach,high_20_40pct_reach,high_20_40pct_reach,high,0.8319,0.1195,7634633861628202263,https://www.tiktok.com/@fitness.babes.my/video/7634633861628202263,fitness.babes.my,movabletype,latin,ceiling_capped,low_relevance,0,,,,,57100000,1700000,30200,450400,103000,,Master Mobility and Overhead Strength: Full Split Stability Challenge Workout Title: Overhead Split Strength & Flexibility Circuit 1. Overhead Dumbbell Hold – 3 sets of 30 seconds Hold a moderate-weight dumbbell or kettlebell directly overhead with locked elb…,,,,,
99,9,raw_top_probe,核查 raw top 是否由低相关热门视频撑高,13,中国木活字印刷术,USL,传统手工艺,stock_low__reach_high,低存量高触达：小而精破圈候选,P0_noise_or_tier_drop,near_invisible,171,活字,high_20_40pct_reach,high_20_40pct_reach,high_20_40pct_reach,high,0.8319,0.1195,7322759248818081055,https://www.tiktok.com/@explore.china6/video/7322759248818081055,explore.china6,movabletype,latin,ceiling_capped,low_relevance,1,china_context,,,,24400000,1200000,5155,7304,76300,handcraft;handmade;fyp;LearnOnTikTok;chineseculture,#handcraft #handmade #fyp #learnontiktok #chineseculture,,,,,
100,10,raw_top_probe,核查 raw top 是否由低相关热门视频撑高,13,中国木活字印刷术,USL,传统手工艺,stock_low__reach_high,低存量高触达：小而精破圈候选,P0_noise_or_tier_drop,near_invisible,171,活字,high_20_40pct_reach,high_20_40pct_reach,high_20_40pct_reach,high,0.8319,0.1195,7618304022067383574,https://www.tiktok.com/@lapopitafit/video/7618304022067383574,lapopitafit,movabletype,latin,ceiling_capped,low_relevance,0,,,,,23900000,1500000,6604,126200,186100,hipcontrol;bodycontrol;movementpractice;dancetutorial;dancebasics,It starts in the legs. The hips just follow. ☝🏻😌 #hipcontrol #bodycontrol #movementpractice #dancetutorial #dancebasics,,,,,
101,1,likely_evidence,验证 likely_relevant 触达信号,16,黎族传统纺染织绣技艺,USL,传统手工艺,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,near_invisible,48,litextiles,middle_40_70pct_reach,middle_40_70pct_reach,lower_70_90pct_reach,high,0.8869,0.0411,7409140339413470495,https://www.tiktok.com/@littleturtlelisa/video/7409140339413470495,littleturtlelisa,Li brocade,latin,ceiling_capped,likely_relevant,5,source_hit;project_term_hits:1;core_term_hits:1;china_context,librocade,librocade,,5400000,59000,233,547,2330,hainan;littleturtlelisa;tourofhainan;cycling;cycle,Li Brocade Show#hainan #littleturtlelisa #tourofhainan #cycling #cycle,,,,,
102,2,likely_evidence,验证 likely_relevant 触达信号,16,黎族传统纺染织绣技艺,USL,传统手工艺,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,near_invisible,48,litextiles,middle_40_70pct_reach,middle_40_70pct_reach,lower_70_90pct_reach,high,0.8869,0.0411,7073738129185738030,https://www.tiktok.com/@littleturtlelisa/video/7073738129185738030,littleturtlelisa,Li brocade,latin,ceiling_capped,likely_relevant,5,source_hit;project_term_hits:1;core_term_hits:1;china_context,librocade,librocade,,4100000,139400,21,143,60,china;hainan,"Li brocade in Hainan, China #china #hainan",,,,,
103,3,likely_evidence,验证 likely_relevant 触达信号,16,黎族传统纺染织绣技艺,USL,传统手工艺,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,near_invisible,48,litextiles,middle_40_70pct_reach,middle_40_70pct_reach,lower_70_90pct_reach,high,0.8869,0.0411,7317593985588055342,https://www.tiktok.com/@littleturtlelisa/video/7317593985588055342,littleturtlelisa,Li brocade,latin,ceiling_capped,likely_relevant,4,source_hit;project_term_hits:1;core_term_hits:1,librocade,librocade,,2200000,6803,19,57,22,legendofocean,The most Dazzling Folk Style with Li Brocade Fashion Show in Legend of Ocean New Year Poem Concert#legendofocean,,,,,
104,4,needs_review_boundary,判定 needs_review 是否应回流到 likely 或 low，影响 inclusive 触达,16,黎族传统纺染织绣技艺,USL,传统手工艺,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,near_invisible,48,litextiles,middle_40_70pct_reach,middle_40_70pct_reach,lower_70_90pct_reach,high,0.8869,0.0411,7634924579571371286,https://www.tiktok.com/@traditional.indus/video/7634924579571371286,traditional.indus,黎族织锦,cjk,exhausted,needs_review,2,china_context;cjk_desc,,,,4500000,71900,436,1983,5691,中国传统技艺;china;countryside;production,Ten-thousand character brocade pattern tea tray万字锦地纹茶盘#中国传统技艺#China tea#countryside . 金丝铁线 龙泉哥窑 | Ge Kiln #production,,,,,
105,5,needs_review_boundary,判定 needs_review 是否应回流到 likely 或 low，影响 inclusive 触达,16,黎族传统纺染织绣技艺,USL,传统手工艺,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,near_invisible,48,litextiles,middle_40_70pct_reach,middle_40_70pct_reach,lower_70_90pct_reach,high,0.8869,0.0411,7626972893062171924,https://www.tiktok.com/@for.chaney.linqiunan/video/7626972893062171924,for.chaney.linqiunan,黎族,cjk,ceiling_capped,needs_review,2,china_context;cjk_desc,,,,4400000,527100,1881,35200,55300,linqiunan;林秋楠;kungfuboys;龙拳小子;taekwondo,"Lin Qiunan (林秋楠) is a Chinese actor and martial arts (taekwondo) practitioner who became well known as a child prodigy in action sports and entertainment. He was born on May 20, 2004, in Ningbo, Zhejiang, China. From a very young age, he trained intensively i…",,,,,
